PeakID (cmd=annotatePeaks.pl filtrd_peaks.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr15-15	chr15	52861210	52861417	+	1	NA	promoter-TSS (NM_001306196)	promoter-TSS (NM_001306196)	16	NM_001306196	10776	Hs.512908	NM_006628	ENSG00000128989	ARPP19	ARPP-16|ARPP-19|ARPP16|ENSAL	cAMP regulated phosphoprotein 19	protein-coding
chr9-26	chr9	137248930	137249093	+	1	NA	intron (NM_002957, intron 1 of 9)	intron (NM_002957, intron 1 of 9)	-22130	NM_001291920	6256	Hs.590886	NM_002957	ENSG00000186350	RXRA	NR2B1	retinoid X receptor alpha	protein-coding
chr8-313	chr8	102486437	102486495	+	1	NA	Intergenic	Intergenic	-18201	NM_001330593	79977	Hs.661088	NM_024915	ENSG00000083307	GRHL2	BOM|DFNA28|ECTDS|TFCP2L3	grainyhead like transcription factor 2	protein-coding
chr12-337	chr12	120907694	120907838	+	1	NA	promoter-TSS (NM_003769)	promoter-TSS (NM_003769)	106	NM_001037494	8655	Hs.5120	NM_003746	ENSG00000088986	DYNLL1	DLC1|DLC8|DNCL1|DNCLC1|LC8|LC8a|PIN|hdlc1	dynein light chain LC8-type 1	protein-coding
chr13-70	chr13	52510048	52510228	+	1	NA	intron (NM_000053, intron 19 of 20)	intron (NM_000053, intron 19 of 20)	74054	NM_031290	83446	Hs.120573	NM_031290	ENSG00000123171	CCDC70	-	coiled-coil domain containing 70	protein-coding
chr12-65	chr12	56727747	56727867	+	1	NA	promoter-TSS (NM_001166279)	promoter-TSS (NM_001166279)	30	NM_001166279	9924	Hs.273397	NM_014871	ENSG00000135473	PAN2	USP52	poly(A) specific ribonuclease subunit PAN2	protein-coding
chr22-50	chr22	18330245	18330465	+	1	NA	intron (NM_015241, intron 19 of 31)	intron (NM_015241, intron 19 of 31)	59297	NM_001122731	57553	Hs.528024	NM_015241	ENSG00000243156	MICAL3	MICAL-3	microtubule associated monooxygenase, calponin and LIM domain containing 3	protein-coding
chr1-137	chr1	185554986	185555206	+	1	NA	intron (NR_110793, intron 2 of 3)	LTR22C|LTR|ERVK	42524	NR_110793	101929093	Hs.535227	NR_110793	ENSG00000228309	LINC01350	GS1-204I12.1	long intergenic non-protein coding RNA 1350	ncRNA
chrX-87	chrX	23925827	23926035	+	1	NA	promoter-TSS (NM_001169574)	promoter-TSS (NM_001169574)	126	NR_026545	79135	Hs.495851	NM_024122	ENSG00000184831	APOO	FAM121B|MIC26|Mic23|My025	apolipoprotein O	protein-coding
chr3-168	chr3	127842677	127842874	+	1	NA	promoter-TSS (NM_003707)	promoter-TSS (NM_003707)	-45	NM_001319084	8607	Hs.272822	NM_003707	ENSG00000175792	RUVBL1	ECP-54|ECP54|INO80H|NMP 238|NMP238|PONTIN|Pontin52|RVB1|TIH1|TIP49|TIP49A	RuvB like AAA ATPase 1	protein-coding
chr12-345	chr12	122985495	122985667	+	1	NA	promoter-TSS (NM_001350937)	promoter-TSS (NM_001350937)	-32	NM_001350936	55596	Hs.37706	NM_017612	ENSG00000033030	ZCCHC8	-	zinc finger CCHC-type containing 8	protein-coding
chr2-89	chr2	163200546	163200756	+	1	NA	promoter-TSS (NM_001330271)	promoter-TSS (NM_001330271)	68	NM_012198	25801	Hs.377894	NM_012198	ENSG00000115271	GCA	GCL	grancalcin	protein-coding
chr20-895	chr20	36322309	36322498	+	1	NA	promoter-TSS (NM_030877)	promoter-TSS (NM_030877)	46	NM_030877	56259	Hs.472667	NM_030877	ENSG00000132792	CTNNBL1	C20orf33|NAP|P14L|PP8304|dJ633O20.1	catenin beta like 1	protein-coding
chr11-12	chr11	74257849	74257997	+	1	NA	Intergenic	LTR32|LTR|ERVL	-45652	NR_046409	10714	Hs.82502	NM_006591	ENSG00000077514	POLD3	P66|P68|PPP1R128	DNA polymerase delta 3, accessory subunit	protein-coding
chr3-374	chr3	150481281	150481300	+	1	NA	promoter-TSS (NM_005067)	promoter-TSS (NM_005067)	-355	NM_005067	6478	Hs.477959	NM_005067	ENSG00000181788	SIAH2	hSiah2	siah E3 ubiquitin protein ligase 2	protein-coding
chr10-117	chr10	74032446	74032652	+	1	NA	Intergenic	Intergenic	-1128	NM_019058	54541	Hs.744875	NM_019058	ENSG00000168209	DDIT4	Dig2|REDD-1|REDD1	DNA damage inducible transcript 4	protein-coding
chr20-1076	chr20	61284080	61284249	+	1	NA	intron (NM_016354, intron 1 of 11)	intron (NM_016354, intron 1 of 11)	10367	NM_016354	28231	Hs.235782	NM_016354	ENSG00000101187	SLCO4A1	OATP-E|OATP1|OATP4A1|OATPE|OATPRP1|POAT|SLC21A12	solute carrier organic anion transporter family member 4A1	protein-coding
chr1-46	chr1	201987590	201987799	+	1	NA	Intergenic	Intergenic	8004	NM_001114309	1999	Hs.603657	NM_004433	ENSG00000163435	ELF3	EPR-1|ERT|ESE-1|ESX	E74 like ETS transcription factor 3	protein-coding
chr12-179	chr12	56321634	56321666	+	1	NA	promoter-TSS (NM_001143853)	promoter-TSS (NM_001143853)	47	NM_032345	84305	Hs.505687	NM_032345	ENSG00000170473	PYM1	PYM|WIBG	PYM homolog 1, exon junction complex associated factor	protein-coding
chr5-84	chr5	79783726	79783937	+	1	NA	promoter-TSS (NM_205548)	promoter-TSS (NM_205548)	31	NM_205548	167555	Hs.338182	NM_205548	ENSG00000152380	FAM151B	UNQ9217	family with sequence similarity 151 member B	protein-coding
chr2-36	chr2	133174151	133174296	+	1	NA	promoter-TSS (NM_001508)	promoter-TSS (NM_001508)	76	NM_001508	2863	Hs.432395	NM_001508	ENSG00000183840	GPR39	-	G protein-coupled receptor 39	protein-coding
chr9-459	chr9	101568238	101568353	+	1	NA	Intergenic	Intergenic	-1686	NM_024642	79695	Hs.47099	NM_024642	ENSG00000119514	GALNT12	CRCS1|GalNAc-T12	polypeptide N-acetylgalactosaminyltransferase 12	protein-coding
chr19-404	chr19	47987361	47987571	+	1	NA	promoter-TSS (NR_111923)	promoter-TSS (NR_111923)	55	NR_111923	11133	Hs.25441	NM_007059	ENSG00000118162	KPTN	2E4|MRT41	kaptin, actin binding protein	protein-coding
chr5-262	chr5	82286	82491	+	1	NA	Intergenic	Intergenic	-9878	NM_052909	153478	Hs.535800	NM_052909	ENSG00000153404	PLEKHG4B	-	pleckstrin homology and RhoGEF domain containing G4B	protein-coding
chr3-44	chr3	135915664	135915871	+	1	NA	Intergenic	CpG	-1079	NM_018133	55167	Hs.18631	NM_018133	ENSG00000174579	MSL2	MSL-2|MSL2L1|RNF184	MSL complex subunit 2	protein-coding
chr1-52	chr1	108479346	108479487	+	1	NA	intron (NM_006113, intron 1 of 26)	intron (NM_006113, intron 1 of 26)	-27649	NR_046653	100873946	Hs.568676	NR_046653	ENSG00000230489	VAV3-AS1	-	VAV3 antisense RNA 1	ncRNA
chr13-115	chr13	108870635	108870730	+	1	NA	promoter-TSS (NM_032859)	promoter-TSS (NM_032859)	34	NM_001098268	3981	Hs.166091	NM_002312	ENSG00000174405	LIG4	LIG4S	DNA ligase 4	protein-coding
chr9-80	chr9	138853235	138853432	+	1	NA	promoter-TSS (NM_016172)	promoter-TSS (NM_016172)	-107	NM_016172	10422	Hs.9194	NM_016172	ENSG00000130560	UBAC1	GBDR1|KPC2|UBADC1	UBA domain containing 1	protein-coding
chr9-264	chr9	100684558	100684646	+	1	NA	intron (NM_001330725, intron 1 of 5)	CpG	250	NM_001330725	51531	Hs.9196	NM_016481	ENSG00000136932	TRMO	C9orf156|HSPC219|NAP1	tRNA methyltransferase O	protein-coding
chr13-19	chr13	23489738	23489937	+	1	NA	intron (NR_138043, intron 1 of 2)	CpG	671	NR_138043	100996930	Hs.380803	NR_138043		LINC00621	-	long intergenic non-protein coding RNA 621	ncRNA
chr17-667	chr17	27671468	27671628	+	1	NA	Intergenic	MER41D|LTR|ERV1	-46132	NR_039749	100616122		NR_039749	ENSG00000284162	MIR4523	-	microRNA 4523	ncRNA
chr3-118	chr3	138313127	138313231	+	1	NA	promoter-TSS (NM_024491)	promoter-TSS (NM_024491)	46	NM_001320599	80321	Hs.531962	NM_024491	ENSG00000114107	CEP70	BITE	centrosomal protein 70	protein-coding
chr8-277	chr8	81490362	81490473	+	1	NA	Intergenic	CpG	91969	NM_001105539	65986	Hs.591868	NM_023929	ENSG00000205189	ZBTB10	RINZF	zinc finger and BTB domain containing 10	protein-coding
chr14-373	chr14	50335034	50335217	+	1	NA	Intergenic	Intergenic	-14493	NR_145670	378707		NR_145670	ENSG00000278771	RN7SL3	7L30.2|RN7SL631P|RNSRP3	RNA, 7SL, cytoplasmic 3	scRNA
chr13-108	chr13	73632774	73632987	+	1	NA	promoter-TSS (NM_001730)	promoter-TSS (NM_001730)	-50	NM_001730	688	Hs.508234	NM_001730	ENSG00000102554	KLF5	BTEB2|CKLF|IKLF	Kruppel like factor 5	protein-coding
chr16-1	chr16	12009837	12010046	+	1	NA	promoter-TSS (NM_001130006)	promoter-TSS (NM_001130006)	-116	NM_002094	2935	Hs.528780	NM_002094	ENSG00000103342	GSPT1	551G9.2|ETF3A|GST1|eRF3a	G1 to S phase transition 1	protein-coding
chr10-36	chr10	3088218	3088361	+	1	NA	Intergenic	Intergenic	-21423	NM_002627	5214	Hs.26010	NM_002627	ENSG00000067057	PFKP	ATP-PFK|PFK-C|PFK-P|PFKF	phosphofructokinase, platelet	protein-coding
chr12-113	chr12	133022666	133022868	+	1	NA	Intergenic	CpG	-44390	NM_001142641	57666	Hs.411138	NM_001142641	ENSG00000112787	FBRSL1	-	fibrosin like 1	protein-coding
chr12-176	chr12	53895243	53895380	+	1	NA	promoter-TSS (NM_134324)	promoter-TSS (NM_134324)	-66	NM_134324	6895	Hs.326	NM_004178	ENSG00000139546	TARBP2	LOQS|TRBP|TRBP1|TRBP2	TARBP2, RISC loading complex RNA binding subunit	protein-coding
chr1-540	chr1	154377632	154377836	+	1	NA	promoter-TSS (NM_181359)	promoter-TSS (NM_181359)	65	NM_181359	3570	Hs.135087	NM_000565	ENSG00000160712	IL6R	CD126|IL-6R-1|IL-6RA|IL6Q|IL6RA|IL6RQ|gp80	interleukin 6 receptor	protein-coding
chr1-131	chr1	151966626	151966750	+	1	NA	promoter-TSS (NM_002966)	promoter-TSS (NM_002966)	26	NM_002966	6281	Hs.143873	NM_002966	ENSG00000197747	S100A10	42C|ANX2L|ANX2LG|CAL1L|CLP11|Ca[1]|GP11|P11|p10	S100 calcium binding protein A10	protein-coding
chr20-1801	chr20	43991752	43991933	+	1	NA	promoter-TSS (NR_003189)	promoter-TSS (NR_003189)	33	NR_003189	767557	Hs.730643	NR_003189	ENSG00000254806	SYS1-DBNDD2	C20orf169-DBNDD2	SYS1-DBNDD2 readthrough (NMD candidate)	ncRNA
chr1-34	chr1	78149245	78149358	+	1	NA	promoter-TSS (NM_001308237)	promoter-TSS (NM_001308237)	-189	NM_001308237	26009	Hs.480506	NM_015534	ENSG00000036549	ZZZ3	ATAC1	zinc finger ZZ-type containing 3	protein-coding
chr5-56	chr5	133863372	133863469	+	1	NA	intron (NM_015288, intron 1 of 10)	CpG-21039	1622	NM_015288	23338	Hs.732155	NM_015288	ENSG00000043143	JADE2	JADE-2|PHF15	jade family PHD finger 2	protein-coding
chr5-42	chr5	139017112	139017301	+	1	NA	Intergenic	CpG	-9678	NM_001317201	51523	Hs.189119	NM_016463	ENSG00000171604	CXXC5	CF5|HSPC195|RINF|WID	CXXC finger protein 5	protein-coding
chr20-3	chr20	46130574	46130737	+	1	NA	promoter-TSS (NM_006534)	promoter-TSS (NM_006534)	54	NM_001174088	8202	Hs.592142	NM_006534	ENSG00000124151	NCOA3	ACTR|AIB-1|AIB1|CAGH16|CTG26|KAT13B|RAC3|SRC-3|SRC3|TNRC14|TNRC16|TRAM-1|bHLHe42|pCIP	nuclear receptor coactivator 3	protein-coding
chr3-693	chr3	14309610	14309817	+	1	NA	Intergenic	Intergenic	84355	NR_110135	101927565	Hs.306905	NR_110135	ENSG00000251576	LINC01267	-	long intergenic non-protein coding RNA 1267	ncRNA
chr4-165	chr4	6751360	6751558	+	1	NA	Intergenic	Intergenic	-33000	NM_014743	9778	Hs.79276	NM_014743	ENSG00000170871	KIAA0232	-	KIAA0232	protein-coding
chr17-1266	chr17	79670265	79670392	+	1	NA	promoter-TSS (NM_002949)	promoter-TSS (NM_002949)	-72	NM_002949	6182	Hs.109059	NM_002949	ENSG00000262814	MRPL12	5c5-2|L12mt|MRP-L31/34|MRPL7|MRPL7/L12|RPML12	mitochondrial ribosomal protein L12	protein-coding
chr12-259	chr12	49628312	49628497	+	1	NA	intron (NM_001303114, intron 1 of 3)	CpG	6695	NM_001303114	84790	Hs.652390	NM_032704	ENSG00000167553	TUBA1C	TUBA6|bcm948	tubulin alpha 1c	protein-coding
chr17-479	chr17	60005034	60005224	+	1	NA	5' UTR (NM_001351695, exon 1 of 25)	5' UTR (NM_001351695, exon 1 of 25)	264	NM_001330417	57508	Hs.279646	NM_020748	ENSG00000108506	INTS2	INT2|KIAA1287	integrator complex subunit 2	protein-coding
chr17-10	chr17	56769831	56770025	+	1	NA	promoter-TSS (NM_001201457)	promoter-TSS (NM_001201457)	-6	NM_058216	5889	Hs.412587	NM_002876	ENSG00000108384	RAD51C	BROVCA3|FANCO|R51H3|RAD51L2	RAD51 paralog C	protein-coding
chr14-12	chr14	21439641	21439813	+	1	NA	Intergenic	CpG	16097	NM_002934	6036	Hs.728	NM_002934	ENSG00000169385	RNASE2	EDN|RAF3|RNS2	ribonuclease A family member 2	protein-coding
chr20-190	chr20	45640653	45640872	+	1	NA	intron (NM_172110, intron 4 of 13)	L2a|LINE|L2	117499	NM_172110	2139	Hs.472877	NM_005244	ENSG00000064655	EYA2	EAB1	EYA transcriptional coactivator and phosphatase 2	protein-coding
chr4-43	chr4	1616864	1617083	+	1	NA	Intergenic	Intergenic	68745	NM_001013622	152877	Hs.143314	NM_001013622	ENSG00000174137	FAM53A	DNTNP	family with sequence similarity 53 member A	protein-coding
chr14-52	chr14	39736296	39736383	+	1	NA	promoter-TSS (NM_001247990)	promoter-TSS (NM_001247990)	11	NM_001354153	4253	Hs.287694	NM_005930	ENSG00000150527	MIA2	CTAGE5|MEA6|MGEA|MGEA11|MGEA6	melanoma inhibitory activity 2	protein-coding
chr18-17	chr18	43373193	43373408	+	1	NA	Intergenic	Intergenic	-32245	NM_213602	284266	Hs.287692	NM_213602	ENSG00000197046	SIGLEC15	CD33L3|HsT1361|SIGLEC-15	sialic acid binding Ig like lectin 15	protein-coding
chr14-305	chr14	105219270	105219489	+	1	NA	promoter-TSS (NM_006427)	promoter-TSS (NM_006427)	-91	NM_021709	10572	Hs.112058	NM_006427	ENSG00000184990	SIVA1	CD27BP|SIVA|Siva-1|Siva-2	SIVA1 apoptosis inducing factor	protein-coding
chr2-370	chr2	101729925	101730145	+	1	NA	intron (NM_001102426, intron 1 of 19)	intron (NM_001102426, intron 1 of 19)	37874	NM_001102426	11138	Hs.442657	NM_007063	ENSG00000204634	TBC1D8	AD3|GRAMD8|HBLP1|TBC1D8A|VRP	TBC1 domain family member 8	protein-coding
chr2-419	chr2	164483193	164483402	+	1	NA	intron (NM_001321825, intron 1 of 1)	MER41B|LTR|ERV1	109220	NM_018086	55137	Hs.593650	NM_018086	ENSG00000182263	FIGN	-	fidgetin, microtubule severing factor	protein-coding
chr15-518	chr15	88632320	88632540	+	1	NA	intron (NM_001007156, intron 13 of 15)	MIRb|SINE|MIR	116775	NM_001320135	4916	Hs.185701	NM_002530	ENSG00000140538	NTRK3	GP145-TrkC|TRKC|gp145(trkC)	neurotrophic receptor tyrosine kinase 3	protein-coding
chr3-395	chr3	194033519	194033641	+	1	NA	Intergenic	CpG	-2987	NR_024480	100131551	Hs.128066	NR_024480	ENSG00000214145	LINC00887	HEIRCC	long intergenic non-protein coding RNA 887	ncRNA
chr6-128	chr6	43337423	43337522	+	1	NA	promoter-TSS (NM_014345)	promoter-TSS (NM_014345)	-291	NM_014345	24149	Hs.509718	NM_014345	ENSG00000171467	ZNF318	HRIHFB2436|TZF|ZFP318	zinc finger protein 318	protein-coding
chr9-443	chr9	98144789	98144962	+	1	NA	Intergenic	Intergenic	-64884	NM_001243744	2176	Hs.494529	NM_000136	ENSG00000158169	FANCC	FA3|FAC|FACC	Fanconi anemia complementation group C	protein-coding
chr1-146	chr1	17641286	17641469	+	1	NA	intron (NM_012387, intron 1 of 15)	intron (NM_012387, intron 1 of 15)	6687	NM_012387	23569	Hs.522969	NM_012387	ENSG00000159339	PADI4	PAD|PAD4|PADI5|PDI4|PDI5	peptidyl arginine deiminase 4	protein-coding
chr16-480	chr16	87823629	87823844	+	1	NA	Intergenic	Intergenic	-10982	NR_120309	102724467	Hs.587857	NR_120309		LOC102724467	-	uncharacterized LOC102724467	ncRNA
chr14-115	chr14	73603130	73603331	+	1	NA	promoter-TSS (NM_007318)	promoter-TSS (NM_007318)	87	NM_007318	5663	Hs.3260	NM_000021	ENSG00000080815	PSEN1	ACNINV3|AD3|FAD|PS-1|PS1|S182	presenilin 1	protein-coding
chr16-17	chr16	88830010	88830230	+	1	NA	intron (NM_001142864, intron 1 of 50)	intron (NM_001142864, intron 1 of 50)	20945	NR_120387	339059	Hs.449817	NR_120387	ENSG00000182376	LOC339059	-	uncharacterized LOC339059	ncRNA
chrX-94	chrX	39813313	39813481	+	1	NA	Intergenic	Intergenic	143322	NM_017745	54880	Hs.659681	NM_017745	ENSG00000183337	BCOR	ANOP2|MAA2|MCOPS2	BCL6 corepressor	protein-coding
chr1-378	chr1	243418377	243418581	+	1	NA	promoter-TSS (NM_006642)	promoter-TSS (NM_006642)	229	NM_001042405	9859	Hs.533635	NM_014812	ENSG00000143702	CEP170	FAM68A|KAB|KIAA0470	centrosomal protein 170	protein-coding
chr8-86	chr8	127570557	127570747	+	1	NA	promoter-TSS (NM_174911)	promoter-TSS (NM_174911)	59	NM_174911	157638	Hs.741352	NM_174911	ENSG00000168672	FAM84B	BCMP101|NSE2	family with sequence similarity 84 member B	protein-coding
chr11-52	chr11	72497560	72497762	+	1	NA	intron (NM_006645, intron 1 of 6)	intron (NM_006645, intron 1 of 6)	3086	NR_039841	100616410		NR_039841	ENSG00000265064	MIR4692	-	microRNA 4692	ncRNA
chr3-1131	chr3	193788601	193788821	+	1	NA	promoter-TSS (NR_136179)	promoter-TSS (NR_136179)	48	NR_136180	285389	Hs.157102	NR_136179	ENSG00000230102	LINC02028	-	long intergenic non-protein coding RNA 2028	ncRNA
chr9-302	chr9	130331856	130332024	+	1	NA	promoter-TSS (NM_022833)	promoter-TSS (NM_022833)	-544	NM_022833	64855	Hs.522401	NM_022833	ENSG00000136830	FAM129B	C9orf88|MEG-3|MINERVA|OC58|bA356B19.6	family with sequence similarity 129 member B	protein-coding
chr7-628	chr7	150076356	150076561	+	1	NA	promoter-TSS (NM_173680)	promoter-TSS (NM_173680)	52	NM_173680	285971	Hs.655734	NM_173680	ENSG00000196456	ZNF775	-	zinc finger protein 775	protein-coding
chr3-353	chr3	126792768	126792787	+	1	NA	Intergenic	L1MC|LINE|L1	85340	NM_032242	5361	Hs.432329	NM_032242	ENSG00000114554	PLXNA1	NOV|NOVP|PLEXIN-A1|PLXN1	plexin A1	protein-coding
chr3-66	chr3	63922334	63922543	+	1	NA	intron (NM_000333, intron 4 of 12)	intron (NM_000333, intron 4 of 12)	-24990	NR_148359	100861563		NR_148359	ENSG00000280620	SCAANT1	ATXN7-AS1	SCA7/ATXN7 antisense RNA 1	ncRNA
chr4-5	chr4	3463420	3463609	+	1	NA	Intergenic	Intergenic	-1519	NM_001301071	285489	Hs.122110	NM_173660	ENSG00000175920	DOK7	C4orf25|CMS10|CMS1B	docking protein 7	protein-coding
chr4-9	chr4	84405958	84406026	+	1	NA	intron (NM_001345962, intron 1 of 7)	CpG	298	NM_139076	84142	Hs.334772	NM_139076	ENSG00000163322	ABRAXAS1	ABRA1|CCDC98|FAM175A	abraxas 1, BRCA1 A complex subunit	protein-coding
chr16-513	chr16	881140	881340	+	1	NA	Intergenic	Intergenic	25797	NM_001013638	388199	Hs.528461	NM_001013638	ENSG00000167945	PRR25	gs64	proline rich 25	protein-coding
chr17-1364	chr17	39810438	39810650	+	1	NA	Intergenic	Intergenic	-14093	NR_033415	284116	Hs.725790	NR_033415	ENSG00000214514	KRT42P	-	keratin 42 pseudogene	pseudo
chr4-19	chr4	7103770	7103938	+	1	NA	intron (NR_027441, intron 1 of 1)	intron (NR_027441, intron 1 of 1)	1249	NR_027441	730971	Hs.591718	NR_027441		LINC02447	-	long intergenic non-protein coding RNA 2447	ncRNA
chr3-28	chr3	133662482	133662688	+	1	NA	intron (NM_005630, intron 10 of 13)	L3b|LINE|CR1	-13929	NM_025041	80111	Hs.287691	NM_025041	ENSG00000221972	C3orf36	-	chromosome 3 open reading frame 36	protein-coding
chr2-113	chr2	55496361	55496561	+	1	NA	promoter-TSS (NM_001321004)	promoter-TSS (NM_001321004)	-77	NM_001321002	4528	Hs.149894	NM_002453	ENSG00000085760	MTIF2	-	mitochondrial translational initiation factor 2	protein-coding
chr6-442	chr6	152215630	152215657	+	1	NA	intron (NM_000125, intron 3 of 7)	L1PBa1|LINE|L1	85401	NM_001328100	2099	Hs.208124	NM_000125	ENSG00000091831	ESR1	ER|ESR|ESRA|ESTRR|Era|NR3A1	estrogen receptor 1	protein-coding
chr21-35	chr21	47648751	47648960	+	1	NA	promoter-TSS (NM_002340)	promoter-TSS (NM_002340)	-117	NM_002340	4047	Hs.596543	NM_002340	ENSG00000160285	LSS	CTRCT44|OSC	lanosterol synthase	protein-coding
chr7-427	chr7	7951081	7951221	+	1	NA	Intergenic	MLT1A0|LTR|ERVL-MaLR	-57223	NM_138426	113263	Hs.131673	NM_138426	ENSG00000106415	GLCCI1	FAM117C|GCTR|GIG18|TSSN1	glucocorticoid induced 1	protein-coding
chr6-408	chr6	125905932	125906152	+	1	NA	Intergenic	Intergenic	-89457	NR_038906	643623	Hs.520367	NR_038906	ENSG00000224506	LINC02523	-	long intergenic non-protein coding RNA 2523	ncRNA
chr7-165	chr7	158170716	158170852	+	1	NA	intron (NM_130842, intron 1 of 21)	intron (NM_130842, intron 1 of 21)	154721	NR_030325	693180		NR_030325	ENSG00000207637	MIR595	MIRN595|hsa-mir-595	microRNA 595	ncRNA
chr20-2227	chr20	61569177	61569351	+	1	NA	promoter-TSS (NM_017896)	promoter-TSS (NM_017896)	40	NM_080797	11083	Hs.517172	NM_022105	ENSG00000101191	DIDO1	BYE1|C20orf158|DATF-1|DATF1|DIDO2|DIDO3|DIO-1|DIO1|dJ885L7.8	death inducer-obliterator 1	protein-coding
chr7-275	chr7	29604391	29604611	+	1	NA	promoter-TSS (NM_001329997)	promoter-TSS (NM_001329997)	-648	NM_001329997	222171	Hs.91109	NM_175887	ENSG00000176532	PRR15	-	proline rich 15	protein-coding
chr6-88	chr6	83902943	83903152	+	1	NA	promoter-TSS (NM_033411)	promoter-TSS (NM_033411)	15	NM_001322335	112611	Hs.423336	NM_033411	ENSG00000013392	RWDD2A	RWDD2|dJ747H23.2	RWD domain containing 2A	protein-coding
chr10-294	chr10	44732371	44732572	+	1	NA	Intergenic	Intergenic	-55727	NM_001258000	100130539	Hs.694626	NM_001258000	ENSG00000277288	C10orf142	-	chromosome 10 open reading frame 142	protein-coding
chr10-6	chr10	77005294	77005469	+	1	NA	Intergenic	Intergenic	-9557	NM_144589	118881	Hs.355333	NM_144589	ENSG00000165644	COMTD1	-	catechol-O-methyltransferase domain containing 1	protein-coding
chr15-345	chr15	41158253	41158401	+	1	NA	Intergenic	Intergenic	8160	NM_133639	171177	Hs.447901	NM_133639	ENSG00000104140	RHOV	ARHV|CHP|WRCH2	ras homolog family member V	protein-coding
chr9-4	chr9	138284488	138284603	+	1	NA	Intergenic	Intergenic	49450	NM_173520	157927	Hs.559511	NM_173520		C9orf62	-	chromosome 9 open reading frame 62	protein-coding
chr16-43	chr16	2908047	2908256	+	1	NA	promoter-TSS (NM_022119)	promoter-TSS (NM_022119)	20	NM_022119	64063	Hs.459709	NM_022119	ENSG00000005001	PRSS22	BSSP-4|SP001LA|hBSSP-4	serine protease 22	protein-coding
chr16-340	chr16	2065470	2065528	+	1	NA	Intergenic	AluJb|SINE|Alu	-4022	NM_001099456	283869	Hs.233533	NM_001099456	ENSG00000183971	NPW	L8|L8C|PPL8|PPNPW	neuropeptide W	protein-coding
chr14-49	chr14	90863282	90863502	+	1	NA	promoter-TSS (NM_006888)	promoter-TSS (NM_006888)	65	NM_006888	801	Hs.282410	NM_006888	ENSG00000198668	CALM1	CALML2|CAMI|CPVT4|DD132|LQT14|PHKD|caM	calmodulin 1	protein-coding
chr1-413	chr1	26405167	26405326	+	1	NA	Intergenic	LTR8|LTR|ERV1	-11121	NM_032588	84676	Hs.279709	NM_032588	ENSG00000158022	TRIM63	IRF|MURF1|MURF2|RNF28|SMRZ	tripartite motif containing 63	protein-coding
chr2-251	chr2	173818904	173819031	+	1	NA	intron (NM_001282901, intron 1 of 24)	L1MCb|LINE|L1	26034	NM_001282901	11069	Hs.470646	NM_007023	ENSG00000091428	RAPGEF4	CAMP-GEFII|CGEF2|EPAC|EPAC 2|EPAC2|Nbla00496	Rap guanine nucleotide exchange factor 4	protein-coding
chr16-638	chr16	30583351	30583497	+	1	NA	5' UTR (NM_145271, exon 1 of 3)	5' UTR (NM_145271, exon 1 of 3)	304	NM_001024683	146542	Hs.301463	NM_145271	ENSG00000229809	ZNF688	-	zinc finger protein 688	protein-coding
chr20-19	chr20	45833056	45833276	+	1	NA	Intergenic	MIRb|SINE|MIR	37557	NR_037410	100500814		NR_037410	ENSG00000264901	MIR3616	mir-3616	microRNA 3616	ncRNA
chr2-268	chr2	220587210	220587342	+	1	NA	Intergenic	Intergenic	94984	NR_048551	6508	Hs.1176	NM_005070	ENSG00000114923	SLC4A3	AE3|CAE3/BAE3|SLC2C	solute carrier family 4 member 3	protein-coding
chr4-221	chr4	103940760	103940980	+	1	NA	promoter-TSS (NM_139173)	promoter-TSS (NM_139173)	26	NM_001100874	150159	Hs.666728	NM_139173	ENSG00000164037	SLC9B1	NHA1|NHEDC1	solute carrier family 9 member B1	protein-coding
chr17-1278	chr17	900259	900409	+	1	NA	5' UTR (NM_013337, exon 1 of 4)	5' UTR (NM_013337, exon 1 of 4)	201	NM_013337	29928	Hs.745034	NM_013337	ENSG00000177370	TIMM22	TEX4|TIM22	translocase of inner mitochondrial membrane 22	protein-coding
chr3-95	chr3	193876826	193877043	+	1	NA	Intergenic	Intergenic	23003	NM_005524	3280	Hs.250666	NM_005524	ENSG00000114315	HES1	HES-1|HHL|HRY|bHLHb39	hes family bHLH transcription factor 1	protein-coding
chr15-96	chr15	50521048	50521202	+	1	NA	intron (NM_001159629, intron 6 of 8)	intron (NM_001159629, intron 6 of 8)	37037	NM_002112	3067	Hs.1481	NM_002112	ENSG00000140287	HDC	-	histidine decarboxylase	protein-coding
chr1-342	chr1	182758633	182758724	+	1	NA	promoter-TSS (NM_001200051)	promoter-TSS (NM_001200051)	94	NM_001200050	80896	Hs.496969	NM_030769	ENSG00000135838	NPL	C112|C1orf13|NAL|NPL1	N-acetylneuraminate pyruvate lyase	protein-coding
chr5-457	chr5	150537214	150537422	+	1	NA	5' UTR (NM_001155, exon 1 of 26)	5' UTR (NM_001155, exon 1 of 26)	125	NM_001155	309	Hs.412117	NM_001155	ENSG00000197043	ANXA6	ANX6|CBP68	annexin A6	protein-coding
